"filename", "language", "TypeScript", "XML", "TypeScript React", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/.eslintrc.json", "JSON", 0, 0, 0, 0, 103, 0, 0, 0, 0, 103
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 26, 0, 21, 47
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/package.json", "JSON", 0, 0, 0, 0, 70, 0, 0, 0, 1, 71
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/public/index.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 23, 1, 47
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/public/logo.svg", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/public/manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/App.tsx", "TypeScript React", 0, 0, 40, 0, 0, 0, 0, 0, 4, 44
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/Router.tsx", "TypeScript React", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/icons/car-icon.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/icons/circle-checked.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/icons/circle.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/icons/close.svg", "XML", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/icons/shop-icon.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/icons/square-checked.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/icons/square.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/vectors/burger.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/vectors/combos-vector-left.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/vectors/combos-vector-right.svg", "XML", 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/vectors/complete-logo.svg", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/vectors/logo.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/assets/vectors/simpler.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/AddNewProduct.tsx", "TypeScript React", 0, 0, 62, 0, 0, 0, 0, 0, 7, 69
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/AdditionalTopics.tsx", "TypeScript React", 0, 0, 71, 0, 0, 0, 0, 0, 11, 82
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/Banner.tsx", "TypeScript React", 0, 0, 91, 0, 0, 0, 0, 0, 15, 106
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/Footer.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/OrderColumn.tsx", "TypeScript React", 0, 0, 113, 0, 0, 0, 0, 0, 14, 127
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/OrderFinished.tsx", "TypeScript React", 0, 0, 60, 0, 0, 0, 0, 0, 5, 65
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/Product.tsx", "TypeScript React", 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/ProductAdded.tsx", "TypeScript React", 0, 0, 61, 0, 0, 0, 0, 0, 6, 67
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/Products.tsx", "TypeScript React", 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/SectionBg.tsx", "TypeScript React", 0, 0, 57, 0, 0, 0, 0, 0, 9, 66
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/ShoppingCart.tsx", "TypeScript React", 0, 0, 76, 0, 0, 0, 0, 0, 13, 89
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/styled/AddNewProduct.tsx", "TypeScript React", 0, 0, 59, 0, 0, 0, 0, 0, 12, 71
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/styled/Product.tsx", "TypeScript React", 0, 0, 91, 0, 0, 0, 0, 0, 16, 107
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/styled/ProductAdded.tsx", "TypeScript React", 0, 0, 85, 0, 0, 0, 0, 0, 12, 97
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/Button.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/CartButton.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 0, 0, 8, 54
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/CheckBox.tsx", "TypeScript React", 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/CloseModalButton.tsx", "TypeScript React", 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/Price.tsx", "TypeScript React", 0, 0, 19, 0, 0, 0, 0, 0, 7, 26
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/ScreenLoader.tsx", "TypeScript React", 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/ScreenModal.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/ShoppingBar.tsx", "TypeScript React", 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/Sizes.tsx", "TypeScript React", 0, 0, 67, 0, 0, 0, 0, 0, 11, 78
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/SodaFlavours.tsx", "TypeScript React", 0, 0, 52, 0, 0, 0, 0, 0, 10, 62
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/Title.tsx", "TypeScript React", 0, 0, 77, 0, 0, 0, 0, 0, 11, 88
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/components/widgets/Toppings.tsx", "TypeScript React", 0, 0, 55, 0, 0, 0, 0, 0, 10, 65
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/constants.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/hooks/useAddProduct.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/hooks/useAdditionals.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 10, 61
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/hooks/useDisableBodyScroll.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/hooks/useDragAndDrop.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 15, 70
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/hooks/useProducts.ts", "TypeScript", 164, 0, 0, 0, 0, 0, 0, 0, 11, 175
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/hooks/useShoppingCart.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 19, 109
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/index.css", "CSS", 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/index.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 3, 3, 23
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/recoilState.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/reportWebVitals.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/services/api.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/services/network.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/setupTests.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"/Users/felixpacheco/Projects/Brocsoft/burgers-shop/src/tests/Button.test.tsx", "TypeScript React", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
